timestamp[s];distance[m];altitude[m];speed[m/s];power[watts];heart_rate[bpm];temperature[C];left_right_balance;accumulated_power[watts];cadence[rpm];left_pco[mm];right_pco[mm];left_power_phase[degrees];left_power_phase_peak[degrees];right_power_phase[degrees];right_power_phase_peak[degrees]
962862158;562.72;29.60;7.69;43;148;28;178;9018;81;0;4;5.625000087890626E-7|2.1515625336181647E-5;8.859375138427737E-6|1.1953125186767581E-5;8.43750013183594E-7|2.0671875322998053E-5;9.281250145019534E-6|1.2375000193359378E-5
962862159;570.56;30.20;7.64;43;148;28;178;9147;50;-20;2;5.625000087890626E-7|2.1515625336181647E-5;8.859375138427737E-6|1.1953125186767581E-5;8.43750013183594E-7|2.0671875322998053E-5;9.281250145019534E-6|1.2375000193359378E-5
962862160;578.52;30.40;7.86;152;147;28;201;9299;88;-9;2;1.4062500219726565E-7|2.0671875322998053E-5;7.45312511645508E-6|1.2234375191162112E-5;4.21875006591797E-7|1.9546875305419927E-5;7.734375120849611E-6|1.2234375191162112E-5
962862161;586.74;30.80;8.03;163;147;28;182;9462;90;-10;3;0.0|2.0531250320800787E-5;6.609375103271486E-6|1.1953125186767581E-5;4.21875006591797E-7|1.9546875305419927E-5;7.734375120849611E-6|1.2234375191162112E-5
962862162;594.98;31.20;8.15;96;146;28;172;9558;89;-10;3;0.0|2.0531250320800787E-5;6.609375103271486E-6|1.1953125186767581E-5;0.0|1.912500029882813E-5;6.890625107666017E-6|1.1531250180175784E-5
962862163;603.31;31.80;8.09;54;146;28;174;9612;90;-9;3;7.031250109863283E-7|1.9968750312011722E-5;7.5937501186523455E-6|1.3078125204345707E-5;0.0|1.912500029882813E-5;6.890625107666017E-6|1.1531250180175784E-5
962862164;611.49;32.00;8.02;39;146;28;164;9651;89;-9;3;7.031250109863283E-7|1.9968750312011722E-5;7.5937501186523455E-6|1.3078125204345707E-5;0.0|1.912500029882813E-5;6.890625107666017E-6|1.1531250180175784E-5
962862165;619.61;32.00;7.94;74;146;28;164;9725;88;-6;5;7.031250109863283E-7|1.9968750312011722E-5;7.5937501186523455E-6|1.3078125204345707E-5;0.0|1.912500029882813E-5;6.890625107666017E-6|1.1531250180175784E-5
962862166;627.64;32.00;7.91;92;145;28;170;9817;89;-6;5;1.687500026367188E-6|2.0812500325195316E-5;8.859375138427737E-6|1.2796875199951175E-5;1.4062500219726567E-6|1.9546875305419927E-5;7.5937501186523455E-6|1.3359375208740238E-5
962862167;635.64;32.20;7.98;137;145;28;178;9954;87;-9;2;1.687500026367188E-6|2.0812500325195316E-5;8.859375138427737E-6|1.2796875199951175E-5;3.543750055371095E-5|1.9546875305419927E-5;6.750000105468752E-6|1.1390625177978518E-5
962862168;643.65;32.20;8.06;116;145;28;179;10070;91;-9;0;1.1250000175781252E-6|2.039062531860352E-5;8.71875013623047E-6|1.2375000193359378E-5;0.0|1.982812530981446E-5;7.875000123046877E-6|1.2093750188964847E-5
962862169;651.53;32.40;8.02;144;146;28;180;10214;90;-11;1;1.1250000175781252E-6|2.109375032958985E-5;5.906250092285157E-6|1.1109375173583987E-5;0.0|1.982812530981446E-5;7.875000123046877E-6|1.2093750188964847E-5
962862170;659.47;32.40;8.02;161;146;28;180;10375;90;-11;1;1.1250000175781252E-6|2.109375032958985E-5;5.906250092285157E-6|1.1109375173583987E-5;1.4062500219726567E-6|2.0671875322998053E-5;5.906250092285157E-6|1.0828125169189457E-5
962862171;667.54;32.40;8.09;165;146;28;178;10540;90;-10;1;9.843750153808596E-7|2.109375032958985E-5;7.171875112060549E-6|1.1953125186767581E-5;1.4062500219726567E-6|2.0671875322998053E-5;5.906250092285157E-6|1.0828125169189457E-5
962862172;675.68;32.40;7.99;95;145;28;193;10635;91;-9;1;9.843750153808596E-7|2.109375032958985E-5;7.171875112060549E-6|1.1953125186767581E-5;1.4062500219726567E-6|2.0671875322998053E-5;5.906250092285157E-6|1.0828125169189457E-5
962862173;683.84;32.40;7.89;6;145;28;167;10635;91;-9;1;1.265625019775391E-6|1.912500029882813E-5;8.296875129638674E-6|1.2234375191162112E-5;0.0|1.9968750312011722E-5;7.734375120849611E-6|1.1531250180175784E-5
962862174;691.72;32.60;7.74;6;145;28;165;10647;70;-9;1;1.265625019775391E-6|1.912500029882813E-5;8.296875129638674E-6|1.2234375191162112E-5;0.0|1.9968750312011722E-5;7.734375120849611E-6|1.1531250180175784E-5
962862175;699.26;32.60;7.47;9;145;28;165;10656;71;-9;1;1.265625019775391E-6|1.912500029882813E-5;8.296875129638674E-6|1.2234375191162112E-5;0.0|1.9968750312011722E-5;7.734375120849611E-6|1.1531250180175784E-5
962862176;706.59;32.60;7.37;103;144;27;182;10759;85;-8;4;1.265625019775391E-6|1.912500029882813E-5;8.296875129638674E-6|1.2234375191162112E-5;0.0|1.9968750312011722E-5;7.734375120849611E-6|1.1531250180175784E-5
962862177;713.8;32.60;7.39;206;144;27;169;10965;82;-7;3;3.543750055371095E-5|2.039062531860352E-5;6.46875010107422E-6|1.167187518237305E-5;8.43750013183594E-7|2.0812500325195316E-5;7.312500114257814E-6|1.2093750188964847E-5
962862178;721.05;32.60;7.07;106;143;27;175;11071;81;-10;4;5.625000087890626E-7|2.039062531860352E-5;6.609375103271486E-6|1.1812500184570315E-5;8.43750013183594E-7|2.0812500325195316E-5;7.312500114257814E-6|1.2093750188964847E-5
962862179;728.28;32.60;7.32;58;143;27;175;11071;81;-10;4;5.625000087890626E-7|2.039062531860352E-5;6.609375103271486E-6|1.1812500184570315E-5;8.43750013183594E-7|2.0812500325195316E-5;7.312500114257814E-6|1.2093750188964847E-5
962862180;735.42;32.60;7.69;58;142;27;175;11071;81;-8;2;5.625000087890626E-7|2.039062531860352E-5;6.609375103271486E-6|1.1812500184570315E-5;8.43750013183594E-7|2.0812500325195316E-5;7.312500114257814E-6|1.2093750188964847E-5
962862181;742.72;32.80;7.69;58;142;27;165;11245;45;-8;2;4.21875006591797E-7|2.2781250355957036E-5;8.859375138427737E-6|1.1953125186767581E-5;8.43750013183594E-7|2.5031250391113288E-5;6.750000105468752E-6|1.0265625160400394E-5
962862182;750.45;32.80;7.78;247;142;27;181;11492;87;-9;2;4.21875006591797E-7|2.2781250355957036E-5;8.859375138427737E-6|1.1953125186767581E-5;8.43750013183594E-7|2.5031250391113288E-5;6.750000105468752E-6|1.0265625160400394E-5
962862183;758.57;32.60;7.87;117;143;27;181;11492;87;-9;2;5.625000087890626E-7|2.2078125344970708E-5;7.312500114257814E-6|1.167187518237305E-5;8.43750013183594E-7|2.5031250391113288E-5;6.750000105468752E-6|1.0265625160400394E-5
962862184;766.64;32.80;7.89;117;143;27;181;11726;88;-11;0;5.625000087890626E-7|2.2078125344970708E-5;7.312500114257814E-6|1.167187518237305E-5;3.487500054492188E-5|2.010937531420899E-5;6.890625107666017E-6|1.1390625177978518E-5
962862185;774.55;33.00;7.76;93;144;27;181;11819;87;-11;0;7.031250109863283E-7|2.109375032958985E-5;7.45312511645508E-6|1.265625019775391E-5;0.0|1.982812530981446E-5;6.890625107666017E-6|1.1953125186767581E-5
962862186;782.33;33.20;7.66;117;144;27;172;11936;87;-11;1;2.812500043945313E-7|2.0671875322998053E-5;6.890625107666017E-6|1.2375000193359378E-5;1.1250000175781252E-6|1.9968750312011722E-5;7.734375120849611E-6|1.2515625195556644E-5
962862187;789.92;33.20;7.59;140;144;27;175;12076;87;-11;1;2.812500043945313E-7|2.0671875322998053E-5;6.890625107666017E-6|1.2375000193359378E-5;1.1250000175781252E-6|1.9968750312011722E-5;7.734375120849611E-6|1.2515625195556644E-5
