timestamp[s];distance[m];altitude[m];speed[m/s];power[watts];heart_rate[bpm];temperature[C];cadence[rpm];accumulated_power[watts];left_pco[mm];right_pco[mm];right_power_phase[degrees];right_power_phase_peak[degrees];left_right_balance;left_power_phase[degrees];left_power_phase_peak[degrees]
935669183;919.7;60.40;12.55;55;163;31;77;18114;-11;3;3.346875052294923E-5|1.9968750312011722E-5;8.156250127441408E-6|1.2515625195556644E-5;204;2.812500043945313E-7|2.0531250320800787E-5;8.156250127441408E-6|1.265625019775391E-5
935669184;932.21;60.40;12.48;101;163;31;97;18215;-11;3;1.9687500307617193E-6|1.9546875305419927E-5;9.140625142822268E-6|1.2796875199951175E-5;171;3.557812555590821E-5|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
935669185;944.72;60.40;12.54;263;163;31;99;18478;-15;3;1.9687500307617193E-6|1.9546875305419927E-5;9.140625142822268E-6|1.2796875199951175E-5;169;3.557812555590821E-5|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
935669186;957.37;60.40;12.69;242;164;31;98;18720;-15;3;0.0|2.0531250320800787E-5;8.578125134033205E-6|1.1953125186767581E-5;179;3.557812555590821E-5|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
935669187;970.15;60.40;12.78;276;163;31;100;18996;-14;-2;3.473437554272462E-5|1.982812530981446E-5;7.45312511645508E-6|1.1812500184570315E-5;179;3.501562554711915E-5|2.0953125327392582E-5;7.875000123046877E-6|1.2234375191162112E-5
935669188;983.08;60.60;12.97;277;164;31;101;19273;-14;-3;3.4171875533935555E-5|1.9265625301025395E-5;7.734375120849611E-6|1.1812500184570315E-5;176;3.5156250549316415E-5|2.1656250338378913E-5;8.156250127441408E-6|1.2093750188964847E-5
935669189;996.08;60.60;13.03;224;164;31;101;19497;-14;-3;3.445312553833009E-5|1.9546875305419927E-5;7.5937501186523455E-6|1.1812500184570315E-5;176;3.571875055810548E-5|2.109375032958985E-5;8.43750013183594E-6|1.2515625195556644E-5
935669190;1009.17;60.80;13.08;227;163;31;102;19724;-14;-5;3.445312553833009E-5|1.9546875305419927E-5;7.5937501186523455E-6|1.1812500184570315E-5;179;3.571875055810548E-5|2.109375032958985E-5;8.43750013183594E-6|1.2515625195556644E-5
935669191;1022.36;60.80;13.20;228;164;31;102;19952;-12;-3;3.431250053613282E-5|1.9546875305419927E-5;7.312500114257814E-6|1.1953125186767581E-5;177;3.571875055810548E-5|2.109375032958985E-5;8.43750013183594E-6|1.2515625195556644E-5
935669192;1035.62;60.80;13.21;187;164;31;103;20139;-10;-4;3.431250053613282E-5|1.9546875305419927E-5;7.312500114257814E-6|1.1953125186767581E-5;181;3.571875055810548E-5|2.109375032958985E-5;8.43750013183594E-6|1.2515625195556644E-5
