,Time,Latitude,Longitude,Elevation,Distance,Heart_rate,Speed,Cadence,Lap,HR_smooth,Distance_miles,Elevation_feet,dElevation
10908,2020-02-16 11:03:32+00:00,43.79656137898564,12.11122764274478,1048.2,82047.88,159.0,3.247,304.0,1,158.45,50.98231573191495,3438.93456,0.6561599999999999
10909,2020-02-16 11:03:33+00:00,43.796551153063774,12.11126678623259,1048.4,82051.14,159.0,3.256,296.0,1,158.5,50.984341407036425,3439.5907200000006,0.6561600000004546
10910,2020-02-16 11:03:34+00:00,43.7965427711606,12.111305426806211,1048.6,82054.4,159.0,3.266,314.0,1,158.55,50.986367082157905,3440.2468799999997,0.6561599999990904
10911,2020-02-16 11:03:35+00:00,43.796533634886146,12.1113439835608,1048.8,82057.6,159.0,3.2,346.0,1,158.55,50.98835547491519,3440.90304,0.6561600000004546
10912,2020-02-16 11:03:36+00:00,43.796522403135896,12.111380361020565,1049.0,82060.77,159.0,3.172,346.0,1,158.6,50.99032522649037,3441.5592,0.6561599999999999
10913,2020-02-16 11:03:37+00:00,43.79650807008147,12.111415565013885,1049.2,82063.93,159.0,3.163,342.0,1,158.65,50.99228876433818,3442.21536,0.6561599999999999
10914,2020-02-16 11:03:38+00:00,43.79649139009416,12.111448757350445,1049.6,82067.01,159.0,3.079,316.0,1,158.7,50.99420259236706,3443.5276799999997,1.312319999999545
10915,2020-02-16 11:03:39+00:00,43.796475464478135,12.111480440944433,1049.8,82070.06,158.0,3.051,332.0,1,158.7,50.99609777921384,3444.18384,0.6561600000004546
10916,2020-02-16 11:03:40+00:00,43.796459371224046,12.111511705443263,1049.8,82073.04,159.0,2.976,354.0,1,158.75,50.99794946996906,3444.18384,0.0
10917,2020-02-16 11:03:41+00:00,43.796441769227386,12.111541293561459,1050.2,82075.96,158.0,2.921,390.0,1,158.75,50.99976387836008,3445.49616,1.3123199999999997
10918,2020-02-16 11:03:42+00:00,43.796421736478806,12.111566942185163,1050.4,82078.91,158.0,2.948,394.0,1,158.75,51.00159692793319,3446.1523200000006,0.6561600000004546
10919,2020-02-16 11:03:43+00:00,43.796399775892496,12.11158873513341,1050.6,82082.03,158.0,3.116,366.0,1,158.7,51.00353561087154,3446.8084799999997,0.6561599999990904
10920,2020-02-16 11:03:44+00:00,43.79637613892555,12.111609186977148,1050.8,82085.2,159.0,3.172,358.0,1,158.7,51.00550536244672,3447.46464,0.6561600000004546
10921,2020-02-16 11:03:45+00:00,43.796353256329894,12.11162980645895,1051.0,82088.33,159.0,3.135,326.0,1,158.7,51.00745025911243,3448.1208,0.6561599999999999
10922,2020-02-16 11:03:46+00:00,43.79633045755327,12.111651431769133,1051.2,82091.45,159.0,3.116,350.0,1,158.75,51.00938894205078,3448.77696,0.6561599999999999
10923,2020-02-16 11:03:47+00:00,43.796308413147926,12.111671967431903,1051.2,82094.44,159.0,2.995,352.0,1,158.75,51.01124684653337,3448.77696,0.0
10924,2020-02-16 11:03:48+00:00,43.79628620110452,12.111688647419214,1051.4,82097.48,159.0,3.042,346.0,1,158.75,51.013135819652774,3449.4331200000006,0.6561600000004546
10925,2020-02-16 11:03:49+00:00,43.79626105539501,12.111700549721718,1051.4,82100.7,159.0,3.219,344.0,1,158.8,51.01513663986479,3449.4331200000006,0.0
10926,2020-02-16 11:03:50+00:00,43.79623482003808,12.111712452024221,1051.6,82103.96,158.0,3.256,310.0,1,158.75,51.01716231498627,3450.0892799999997,0.6561599999990904
10927,2020-02-16 11:03:51+00:00,43.79620699211955,12.111719828099012,1051.6,82107.19,159.0,3.238,302.0,1,158.75,51.01916934892565,3450.0892799999997,0.0
10928,2020-02-16 11:03:52+00:00,43.79618092440069,12.111724186688662,1051.8,82110.41,159.0,3.219,310.0,1,158.75,51.02117016913766,3450.74544,0.6561600000004546
10929,2020-02-16 11:03:53+00:00,43.79615661688149,12.111730054020882,1052.0,82113.6,158.0,3.191,326.0,1,158.7,51.02315234816758,3451.4016,0.6561599999999999
10930,2020-02-16 11:03:54+00:00,43.796130046248436,12.111737849190831,1052.0,82116.89,158.0,3.294,342.0,1,158.65,51.02519666447115,3451.4016,0.0
10931,2020-02-16 11:03:55+00:00,43.79610515199602,12.111746817827225,1052.4,82120.22,159.0,3.331,356.0,1,158.65,51.0272658356842,3452.7139200000006,1.3123200000004545
10932,2020-02-16 11:03:56+00:00,43.79607941955328,12.11175687611103,1052.4,82123.44,159.0,3.219,358.0,1,158.65,51.02926665589621,3452.7139200000006,0.0
10933,2020-02-16 11:03:57+00:00,43.79605653695762,12.111771292984486,1052.6,82126.63,159.0,3.191,356.0,1,158.65,51.031248834926124,3453.3700799999997,0.6561599999990904
10934,2020-02-16 11:03:58+00:00,43.79603432491422,12.111783111467957,1052.6,82129.88,158.0,3.247,384.0,1,158.6,51.03326829632024,3453.3700799999997,0.0
10935,2020-02-16 11:03:59+00:00,43.796011274680495,12.111794846132398,1052.8,82133.15,159.0,3.275,402.0,1,158.65,51.03530018516908,3454.02624,0.6561600000004546
10936,2020-02-16 11:04:00+00:00,43.79598646424711,12.11180959828198,1053.0,82136.52,159.0,3.368,376.0,1,158.65,51.03739421129159,3454.6824,0.6561599999999999
10937,2020-02-16 11:04:01+00:00,43.7959608156234,12.111827451735735,1054.2,82139.98,159.0,3.462,336.0,1,158.7,51.039544160960396,3458.61936,3.936959999999999
10938,2020-02-16 11:04:02+00:00,43.795933993533254,12.11184773594141,1054.8,82143.48,158.0,3.499,338.0,1,158.7,51.04171896553867,3460.58784,1.9684799999999996
10939,2020-02-16 11:04:03+00:00,43.7959074229002,12.111871540546417,1055.6,82147.02,159.0,3.536,310.0,1,158.75,51.043918625026414,3463.2124799999997,2.6246399999995447
10940,2020-02-16 11:04:04+00:00,43.79587959498167,12.111900458112359,1056.0,82150.52,158.0,3.499,310.0,1,158.7,51.04609342960469,3464.5248,1.3123200000004545
10941,2020-02-16 11:04:05+00:00,43.79585503600538,12.111936332657933,1056.2,82153.99,159.0,3.471,274.0,1,158.7,51.04824959300086,3465.18096,0.6561599999999999
10942,2020-02-16 11:04:06+00:00,43.79583450034261,12.111970530822873,1056.4,82157.49,159.0,3.499,310.0,1,158.7,51.050424397579135,3465.8371200000006,0.6561600000004546
10943,2020-02-16 11:04:07+00:00,43.79581153392792,12.112008752301335,1056.4,82160.96,159.0,3.48,288.0,1,158.7,51.052580560975315,3465.8371200000006,0.0
10944,2020-02-16 11:04:08+00:00,43.79578999243677,12.112045548856258,1056.4,82164.41,159.0,3.443,240.0,1,158.7,51.05472429691675,3465.8371200000006,0.0
10945,2020-02-16 11:04:09+00:00,43.79577322863042,12.11207882501185,1056.6,82167.86,158.0,3.452,248.0,1,158.65,51.05686803285819,3466.4932799999997,0.6561599999990904
10946,2020-02-16 11:04:10+00:00,43.79576182924211,12.112122997641563,1056.6,82171.36,158.0,3.499,274.0,1,158.65,51.059042837436465,3466.4932799999997,0.0
10947,2020-02-16 11:04:11+00:00,43.79575110040605,12.11216532625258,1056.8,82174.83,158.0,3.471,234.0,1,158.6,51.061199000832644,3467.14944,0.6561600000004546
10948,2020-02-16 11:04:12+00:00,43.79574338905513,12.112210001796484,1056.8,82178.23,158.0,3.396,248.0,1,158.55,51.063311668137246,3467.14944,0.0
10949,2020-02-16 11:04:13+00:00,43.79574037156999,12.11225476115942,1056.8,82181.64,158.0,3.406,266.0,1,158.55,51.06543054916923,3467.14944,0.0
10950,2020-02-16 11:04:14+00:00,43.7957398686558,12.11230262182653,1057.2,82185.03,157.0,3.387,280.0,1,158.5,51.06753700274647,3468.46176,1.3123199999999997
10951,2020-02-16 11:04:15+00:00,43.7957417126745,12.112347297370434,1057.6,82188.35,157.0,3.322,282.0,1,158.4,51.06959996023215,3469.7740799999997,1.312319999999545
10952,2020-02-16 11:04:16+00:00,43.79574623890221,12.11238811723888,1057.8,82191.63,157.0,3.284,292.0,1,158.3,51.07163806280836,3470.43024,0.6561600000004546
10953,2020-02-16 11:04:17+00:00,43.79574908874929,12.112429859116673,1057.8,82194.86,157.0,3.238,284.0,1,158.2,51.07364509674774,3470.43024,0.0
10954,2020-02-16 11:04:18+00:00,43.79575445316732,12.112470511347055,1058.0,82198.11,156.0,3.247,302.0,1,158.1,51.07566455814185,3471.0864,0.6561599999999999
10955,2020-02-16 11:04:19+00:00,43.795764008536935,12.112510493025184,1058.2,82201.44,156.0,3.331,302.0,1,157.95,51.0777337293549,3471.74256,0.6561599999999999
10956,2020-02-16 11:04:20+00:00,43.7957744859159,12.112549720332026,1058.2,82204.75,156.0,3.312,304.0,1,157.8,51.079790473113206,3471.74256,0.0
10957,2020-02-16 11:04:21+00:00,43.795784963294864,12.112588612362742,1058.4,82207.99,156.0,3.238,320.0,1,157.65,51.08180372077995,3472.3987200000006,0.6561600000004546
10958,2020-02-16 11:04:22+00:00,43.79579460248351,12.112624067813158,1058.8,82211.21,156.0,3.219,330.0,1,157.55,51.08380454099196,3473.71104,1.312319999999545
10959,2020-02-16 11:04:23+00:00,43.795807007700205,12.112659439444542,1058.8,82214.46,156.0,3.247,354.0,1,157.4,51.085824002386076,3473.71104,0.0
10960,2020-02-16 11:04:24+00:00,43.79582008346915,12.112697325646877,1059.0,82217.74,155.0,3.284,348.0,1,157.25,51.08786210496229,3474.3672,0.6561599999999999
10961,2020-02-16 11:04:25+00:00,43.7958331592381,12.11273605003953,1059.2,82221.02,156.0,3.284,340.0,1,157.1,51.0899002075385,3475.02336,0.6561599999999999
10962,2020-02-16 11:04:26+00:00,43.79584824666381,12.112776786088943,1059.2,82224.34,156.0,3.322,342.0,1,156.95,51.09196316502417,3475.02336,0.0
10963,2020-02-16 11:04:27+00:00,43.79586056806147,12.112813498824835,1059.4,82227.64,156.0,3.303,342.0,1,156.8,51.09401369505512,3475.6795200000006,0.6561600000004546
10964,2020-02-16 11:04:28+00:00,43.79586769267917,12.112856414169073,1059.6,82231.08,156.0,3.434,310.0,1,156.65,51.096151217269195,3476.3356799999997,0.6561599999990904
10965,2020-02-16 11:04:29+00:00,43.79586995579302,12.112898407503963,1059.6,82234.57,156.0,3.49,302.0,1,156.55,51.0983198081201,3476.3356799999997,0.0
10966,2020-02-16 11:04:30+00:00,43.79587029106915,12.112939227372408,1059.8,82238.13,156.0,3.555,278.0,1,156.45,51.10053189506258,3476.99184,0.6561600000004546
10967,2020-02-16 11:04:31+00:00,43.79586727358401,12.1129828132689,1060.0,82241.7,156.0,3.564,256.0,1,156.35,51.10275019573241,3477.648,0.6561599999999999
10968,2020-02-16 11:04:32+00:00,43.79585914313793,12.113022459670901,1060.2,82245.28,156.0,3.592,220.0,1,156.25,51.10497471012962,3478.30416,0.6561599999999999
10969,2020-02-16 11:04:33+00:00,43.79585185088217,12.113062692806125,1060.4,82248.67,155.0,3.387,198.0,1,156.1,51.107081163706866,3478.9603200000006,0.6561600000004546
10970,2020-02-16 11:04:34+00:00,43.795843468979,12.11310158483684,1060.4,82251.95,155.0,3.275,256.0,1,156.0,51.109119266283074,3478.9603200000006,0.0
10971,2020-02-16 11:04:35+00:00,43.79583173431456,12.113138129934669,1060.6,82255.18,155.0,3.238,270.0,1,155.9,51.11112630022245,3479.6164799999997,0.6561599999990904
10972,2020-02-16 11:04:36+00:00,43.795819664373994,12.113177105784416,1060.8,82258.51,155.0,3.331,292.0,1,155.8,51.113195471435496,3480.27264,0.6561600000004546
10973,2020-02-16 11:04:37+00:00,43.79580776207149,12.1132159139961,1061.0,82261.89,155.0,3.378,296.0,1,155.7,51.11529571128538,3480.9288,0.6561599999999999
10974,2020-02-16 11:04:38+00:00,43.795795273035765,12.113252710551023,1061.2,82265.26,154.0,3.378,290.0,1,155.6,51.11738973740788,3481.58496,0.6561599999999999
10975,2020-02-16 11:04:39+00:00,43.79578077234328,12.113289758563042,1061.4,82268.63,155.0,3.368,290.0,1,155.55,51.1194837635304,3482.2411200000006,0.6561600000004546
10976,2020-02-16 11:04:40+00:00,43.79576560109854,12.113327896222472,1061.6,82272.03,155.0,3.406,302.0,1,155.5,51.121596430835005,3482.8972799999997,0.6561599999990904
10977,2020-02-16 11:04:41+00:00,43.795746490359306,12.113365614786744,1061.8,82275.47,155.0,3.434,306.0,1,155.45,51.12373395304908,3483.55344,0.6561600000004546
10978,2020-02-16 11:04:42+00:00,43.795725954696536,12.113397717475891,1062.0,82278.85,155.0,3.378,340.0,1,155.4,51.12583419289896,3484.2096,0.6561599999999999
10979,2020-02-16 11:04:43+00:00,43.795708268880844,12.11342554539442,1062.2,82282.21,155.0,3.359,336.0,1,155.35,51.1279220052941,3484.86576,0.6561599999999999
10980,2020-02-16 11:04:44+00:00,43.79568723030388,12.11344650015235,1062.2,82285.47,155.0,3.266,354.0,1,155.35,51.129947680415576,3484.86576,0.0
10981,2020-02-16 11:04:45+00:00,43.79566669464111,12.1134646050632,1062.4,82288.64,155.0,3.172,358.0,1,155.3,51.13191743199076,3485.5219200000006,0.6561600000004546
10982,2020-02-16 11:04:46+00:00,43.79564666189253,12.11348120123148,1062.6,82291.74,155.0,3.098,376.0,1,155.25,51.133843687474375,3486.1780799999997,0.6561599999990904
